Dex Number,Pokemon Name,Primary Type,Secondary Type,Rarity,Sky,Time,Weather,Biomes,Anti-Biomes,Structures,Anti-Structures,Base Blocks,Nearby Blocks,Moon Phase,Anti-Moon Phase,Presets,Generation,Labels,Egg Groups,Weight,Context,Spawn ID,Spawn Archive,Species Archive
65,Alakazam,psychic,,uncommon,Any,night,Any,Magical,,,,,,,,natural,Gen 1,,human_like,0.1,grounded,alakazam-2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
65,Alakazam,psychic,,common,CANNOT SEE,Any,Any,Overworld,,,,,,,,mansion,Gen 1,,human_like,0.02,grounded,alakazam-3,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
869,Alcremie,fairy,,common,Any,Any,Any,Overworld,,,,,Cake,,,,Gen 8,,"fairy, amorphous",1.0,grounded,alcremie-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
869,Alcremie,fairy,,uncommon,Any,Any,Any,Overworld,,,,,Sugar Cane,,,,Gen 8,,"fairy, amorphous",0.2,grounded,alcremie-2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
869,Alcremie,fairy,,common,CANNOT SEE,Any,Any,Overworld,,,,,"Light Grey Carpet, Magenta Carpet, White Carpet",,,mansion,Gen 8,,"fairy, amorphous",0.2,grounded,alcremie-3,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
594,Alomomola,water,,uncommon,MUST SEE,Any,Any,Deep Ocean,Frozen Ocean,,,,,,,underwater,Gen 5,,"water_1, water_2",10.0,submerged,alomomola-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
334,Altaria,dragon,flying,uncommon,MUST SEE,Any,Any,Mountain,,,,,,,,natural,Gen 3,,"flying, dragon",2.0,grounded,altaria-1,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
698,Amaura,rock,ice,ultra-rare,Any,Any,Any,Lush,,,,,,,,natural,Gen 6,,monster,9.0,grounded,amaura-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
424,Ambipom,normal,,common,Any,Any,Any,"Jungle, Tropical Land",,,,,,,,"natural, treetop",Gen 4,,field,0.6,grounded,ambipom-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
591,Amoonguss,grass,poison,uncommon,MUST SEE,Any,Any,Mushroom,,,,,,,,,Gen 5,,grass,4.8,grounded,amoonguss-1,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
181,Ampharos,electric,,common,Any,Any,Any,"Highlands, Plains",,,,,,,,natural,Gen 2,,"monster, field",0.1,grounded,ampharos-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
979,Annihilape,fighting,ghost,common,Any,Any,Any,"Hills, Jungle",,,,,,,,"natural, treetop",Gen 9,,field,0.06,grounded,annihilape-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
347,Anorith,rock,bug,ultra-rare,Any,Any,Any,Lush,,,,,,,,natural,Gen 3,,water_3,9.0,grounded,anorith-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
347,Anorith,rock,bug,ultra-rare,Any,Any,Any,Lush,,,,,,,,underwater,Gen 3,,water_3,9.0,submerged,anorith-2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
840,Applin,grass,dragon,rare,MUST SEE,Any,Any,Forest,,,,,,,,,Gen 8,,"grass, dragon",6.8,grounded,applin-1,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
752,Araquanid,water,bug,common,MUST SEE,Any,Any,"Swamp, Coast, Land",,,,,,,,,Gen 7,,"water_1, bug",0.4,grounded,araquanid-1,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
752,Araquanid,water,bug,common,MUST SEE,Any,Any,"River, Freshwater",,,,,,,,"freshwater, underwater",Gen 7,,"water_1, bug",0.4,submerged,araquanid-2,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
24,Arbok Snake_Pattern=Attack,poison,,common,Any,Any,Any,Arid,,,,,,,,natural,Gen 1,,"field, dragon",0.03,grounded,arbok-attack-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
24,Arbok Snake_Pattern=Classic,poison,,common,Any,Any,Any,Arid,,,,,,,,natural,Gen 1,,"field, dragon",0.45,grounded,arbok-classic-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
24,Arbok Snake_Pattern=Dark,poison,,common,Any,Any,Any,Nether/ Desert,,,,,,,,natural,Gen 1,,"field, dragon",0.6,grounded,arbok-dark-2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
24,Arbok Snake_Pattern=Elusive,poison,,common,Any,Any,Any,Arid,,,,,,,,natural,Gen 1,,"field, dragon",0.03,grounded,arbok-elusive-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
24,Arbok Snake_Pattern=Legacy,poison,,common,Any,Any,Any,Arid,,,,,,,,natural,Gen 1,,"field, dragon",0.03,grounded,arbok-legacy-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
24,Arbok Snake_Pattern=Sound,poison,,common,Any,Any,Any,Arid,,,,,,,,natural,Gen 1,,"field, dragon",0.03,grounded,arbok-sound-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
24,Arbok Snake_Pattern=Speed,poison,,common,Any,Any,Any,Arid,,,,,,,,natural,Gen 1,,"field, dragon",0.03,grounded,arbok-speed-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
59,Arcanine,fire,,common,Any,Any,Any,Overworld,Desert,,,,,,,"natural, urban",Gen 1,Kanto Regional,field,0.6,grounded,arcanine-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
59,Arcanine,fire,,common,Any,Any,Any,Overworld,Desert,,,,,,,"natural, village",Gen 1,Kanto Regional,field,0.6,grounded,arcanine-2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
566,Archen,rock,flying,ultra-rare,Any,Any,Any,Lush,,,,,,,,natural,Gen 5,,"flying, water_3",9.0,grounded,archen-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
567,Archeops,rock,flying,ultra-rare,Any,Any,Any,Lush,,,,,,,,natural,Gen 5,,"flying, water_3",1.0,grounded,archeops-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
997,Arctibax,dragon,ice,rare,MUST SEE,Any,Any,Glacial,,,,,,,,natural,Gen 9,,"dragon, mineral",2.5,grounded,arctibax-1,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
168,Ariados,bug,poison,common,Any,night,Clear,"Forest, Jungle, Spooky",Freezing,,,,,,,"natural, treetop",Gen 2,,bug,0.6,grounded,ariados-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
168,Ariados,bug,poison,common,Any,Any,Any,Overworld,Deep Dark,,,,,,,natural,Gen 2,,bug,0.2,grounded,ariados-2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
168,Ariados,bug,poison,common,CANNOT SEE,Any,Any,Overworld,Deep Dark,,,,,,,derelict,Gen 2,,bug,0.6,grounded,ariados-3,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
168,Ariados,bug,poison,common,Any,Any,Any,,,,,,,,,"webs, natural",Gen 2,,bug,1.0,grounded,ariados-4,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
168,Ariados,bug,poison,common,CANNOT SEE,Any,Any,Overworld,,,,,Cobweb,,,mansion,Gen 2,,bug,1.0,grounded,ariados-5,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
348,Armaldo,rock,bug,ultra-rare,Any,Any,Any,Lush,,,,,,,,natural,Gen 3,,water_3,1.0,grounded,armaldo-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
348,Armaldo,rock,bug,ultra-rare,Any,Any,Any,Lush,,,,,,,,underwater,Gen 3,,water_3,1.0,submerged,armaldo-2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
936,Armarouge,fire,psychic,common,Any,Any,Any,Nether,,,,,,,,"natural, nether_structures",Gen 9,,human_like,5.0,grounded,armarouge-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
936,Armarouge,fire,psychic,uncommon,Any,Any,Any,Overworld,,,,,,,,ruined_portal,Gen 9,,human_like,1.0,grounded,armarouge-2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
304,Aron,steel,rock,common,Any,Any,Any,Mountain,Deep Dark,,,,Iron Ore,,,"natural, wild",Gen 3,,monster,9.0,grounded,aron-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
304,Aron,steel,rock,uncommon,Any,Any,Any,Overworld,Deep Dark,,,,Iron Ore,,,natural,Gen 3,,monster,9.0,grounded,aron-2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
846,Arrokuda,water,,common,MUST SEE,Any,Any,"Ocean, Mangrove Swamp",Freezing,,,,,,,underwater,Gen 8,,water_2,1.8,submerged,arrokuda-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
144,Articuno,ice,flying,ultra-rare,MUST SEE,Any,Rain,Glacial,,,,,,,,natural,Gen 1,"Legendary, Kanto Regional",undiscovered,0.01,grounded,articuno,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
144,Articuno Galarian,psychic,flying,ultra-rare,MUST SEE,Any,Any,Floral,,,,,,,,natural,Gen 1,"Legendary, Kanto Regional",undiscovered,0.01,grounded,articuno-galarian,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
699,Aurorus,rock,ice,ultra-rare,Any,Any,Any,Lush,,,,,,,,natural,Gen 6,,monster,1.0,grounded,aurorus-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
713,Avalugg,ice,,common,Any,Any,Any,Frozen Ocean,,,,,,,,natural,Gen 6,Kalos Regional,"monster, mineral",1.0,grounded,avalugg-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
713,Avalugg,ice,,common,Any,Any,Any,Frozen Ocean,,,,,,,,water_surface,Gen 6,Kalos Regional,"monster, mineral",1.0,surface,avalugg-2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
713,Avalugg,ice,,common,Any,Any,Any,Nether/ Frozen,,,,,,,,natural,Gen 6,Kalos Regional,"monster, mineral",1.0,grounded,avalugg-3,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
610,Axew,dragon,,rare,MUST SEE,Any,Any,"Mountain, Highlands",,,,,,,,,Gen 5,,"monster, dragon",3,grounded,axew-1,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
482,Azelf,psychic,,ultra-rare,MUST SEE,Any,Any,River,,,,,,,,natural,Gen 4,Legendary,undiscovered,0.1,grounded,azelf-1,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
184,Azumarill,water,fairy,uncommon,MUST SEE,Any,Any,River,,,,,,,,,Gen 2,,"water_1, fairy",2.5,grounded,azumarill-1,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
298,Azurill,normal,fairy,uncommon,MUST SEE,Any,Any,River,,,,,,,,,Gen 3,Baby,undiscovered,3.8,grounded,azurill-1,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
343,Baltoy,ground,psychic,uncommon,Any,Any,Any,Sandy,Deep Dark,,,,,,,natural,Gen 3,,mineral,5.4,grounded,baltoy-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
343,Baltoy,ground,psychic,common,CANNOT SEE,Any,Any,Overworld,,,,,,,,"natural, desert_pyramid",Gen 3,,mineral,54.0,grounded,baltoy-2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
343,Baltoy,ground,psychic,common,Any,Any,Any,Howling Constructs,,,Sempiternal Sanctums,,,,,,Gen 3,,mineral,5.4,grounded,baltoy-3,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
354,Banette,ghost,,common,CANNOT SEE,Any,Any,Deep Dark,,,,,,,,,Gen 3,,amorphous,2.0,grounded,banette-1,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
354,Banette,ghost,,rare,Any,night,Any,Overworld,,,,,,,,natural,Gen 3,,amorphous,1.0,grounded,banette-2,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
339,Barboach,water,ground,common,MUST SEE,Any,Any,Swamp,,,,,,,,underwater,Gen 3,,water_2,9.0,submerged,barboach-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
847,Barraskewda,water,,common,MUST SEE,Any,Any,"Ocean, Mangrove Swamp",Freezing,,,,,,,underwater,Gen 8,,water_2,0.2,submerged,barraskewda-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
902,Basculegion,water,ghost,uncommon,MUST SEE,Any,Any,,,,,,,"1,5",,"freshwater, underwater",Gen 8,,water_2,0.01,submerged,basculegion-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
550,Basculin Striped=Blue,water,,common,MUST SEE,Any,Any,,,,,,,"2,3,4",,"freshwater, underwater",Gen 5,,water_2,10.0,submerged,basculin-blue-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
550,Basculin Striped=Blue,water,,uncommon,MUST SEE,Any,Any,,,,,,,"6,7,8",,"freshwater, underwater",Gen 5,,water_2,0.1,submerged,basculin-blue-2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
550,Basculin Striped=Blue,water,,common,MUST SEE,Any,Any,,,,,,,"1,5",,"freshwater, underwater",Gen 5,,water_2,5.0,submerged,basculin-blue-3,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
550,Basculin Striped=Red,water,,common,MUST SEE,Any,Any,,,,,,,"6,7,8",,"freshwater, underwater",Gen 5,,water_2,10.0,submerged,basculin-red-4,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
550,Basculin Striped=Red,water,,uncommon,MUST SEE,Any,Any,,,,,,,"2,3,4",,"freshwater, underwater",Gen 5,,water_2,0.1,submerged,basculin-red-5,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
550,Basculin Striped=Red,water,,common,MUST SEE,Any,Any,,,,,,,"1,5",,"freshwater, underwater",Gen 5,,water_2,5.0,submerged,basculin-red-6,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
550,Basculin Striped=White,water,,uncommon,MUST SEE,Any,Any,,,,,,,"1,5",,"freshwater, underwater",Gen 5,,water_2,0.09,submerged,basculin-white-7,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
411,Bastiodon,rock,steel,ultra-rare,Any,Any,Any,Lush,,,,,,,,natural,Gen 4,,monster,1.0,grounded,bastiodon-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
998,Baxcalibur,dragon,ice,rare,MUST SEE,Any,Any,Glacial,,,,,,,,natural,Gen 9,Pseudo Legendary,"dragon, mineral",1.0,grounded,baxcalibur-1,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
153,Bayleef,grass,,ultra-rare,Any,Any,Any,Floral,,,,,,,,natural,Gen 2,,"monster, grass",0.9,grounded,bayleef-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
153,Bayleef,grass,,ultra-rare,Any,Any,Any,Floral Meadow,,,Sempiternal Sanctums,,,,,,Gen 2,,"monster, grass",0.9,grounded,bayleef-2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
614,Beartic,ice,,common,Any,Any,Any,Frozen Ocean,,,,,,,,"natural, wild",Gen 5,,field,0.2,grounded,beartic-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
15,Beedrill,bug,poison,common,Any,day,Clear,"Forest, Jungle",Freezing,,,,,,,natural,Gen 1,,bug,1.0,grounded,beedrill-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
15,Beedrill,bug,poison,common,Any,Any,Any,The Bumblezone,,,Sempiternal Sanctums,,,,,,Gen 1,,bug,5.0,grounded,beedrill-2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
606,Beheeyem,psychic,,uncommon,Any,Any,Any,End,,,,,,,,natural,Gen 5,,human_like,1.0,grounded,beheeyem-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
606,Beheeyem,psychic,,common,Any,night,Any,Overworld,,,,,Wheat,,,natural,Gen 5,,human_like,1.0,grounded,beheeyem-2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
606,Beheeyem,psychic,,common,Any,Any,Any,Howling Constructs,,,Sempiternal Sanctums,,,,,,Gen 5,,human_like,0.6,grounded,beheeyem-3,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
374,Beldum,steel,psychic,ultra-rare,Any,Any,Any,"Dripstone, Peak",,,,,,,,natural,Gen 3,,mineral,9.0,grounded,beldum-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
374,Beldum,steel,psychic,rare,Any,Any,Any,End,,,,,,,,natural,Gen 3,,mineral,9.0,grounded,beldum-2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
374,Beldum,steel,psychic,rare,Any,Any,Any,Howling Constructs,,,Sempiternal Sanctums,,,,,,Gen 3,,mineral,9.0,grounded,beldum-3,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
939,Bellibolt,electric,,uncommon,MUST SEE,Any,Any,Swamp,,,,,,,,,Gen 9,,water_1,2.8,grounded,bellibolt-1,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
182,Bellossom,grass,,common,Any,day,Any,Floral,,,,,,,,natural,Gen 2,,grass,0.1,grounded,bellossom-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
182,Bellossom,grass,,common,Any,day,Any,Jungle,,,,,,,,natural,Gen 2,,grass,0.02,grounded,bellossom-2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
182,Bellossom Valencian,grass,,common,Any,day,Any,"Savanna, Tropical Land",,,,,,,,natural,Gen 2,,grass,0.02,grounded,bellossom-valencian-3,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
69,Bellsprout,grass,poison,common,Any,Any,Any,Jungle,,,,,,,,natural,Gen 1,,grass,9.0,grounded,bellsprout-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
712,Bergmite,ice,,common,Any,Any,Any,Frozen Ocean,,,,,,,,natural,Gen 6,,"monster, mineral",9.0,grounded,bergmite-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
712,Bergmite,ice,,common,Any,Any,Any,Frozen Ocean,,,,,,,,water_surface,Gen 6,,"monster, mineral",9.0,surface,bergmite-2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
712,Bergmite,ice,,common,Any,Any,Any,Nether/ Frozen,,,,,,,,natural,Gen 6,,"monster, mineral",9.0,grounded,bergmite-3,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
760,Bewear,normal,fighting,common,Any,Any,Any,Bamboo,,,,,,,,natural,Gen 7,,field,1.0,grounded,bewear-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
400,Bibarel,normal,water,common,Any,Any,Any,Freshwater,,,,,,,,"natural, freshwater",Gen 4,,"water_1, field",1.0,grounded,bibarel-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
400,Bibarel,normal,water,uncommon,Any,Any,Any,Freshwater,,,,,,,,"freshwater, water_surface",Gen 4,,"water_1, field",1.0,surface,bibarel-2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
399,Bidoof,normal,,uncommon,Any,Any,Any,Freshwater,,,,,,,,"freshwater, water_surface",Gen 4,,"water_1, field",9.0,surface,bidoof-1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
399,Bidoof,normal,,common,Any,Any,Any,Freshwater,,,,,,,,"natural, freshwater",Gen 4,,"water_1, field",9.0,grounded,bidoof-2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
625,Bisharp,dark,steel,rare,Any,Any,Any,Bamboo,,,,,,,,natural,Gen 5,,human_like,4,grounded,bisharp-1,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
806,Blacephalon,fire,ghost,ultra-rare,MUST SEE,Any,Any,Lunar Wastelands,,,,,,,,natural,Gen 7,Ultra Beast,undiscovered,3.8,grounded,blacephalon-1,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
