Dex Number,Pokemon Name,Primary Type,Secondary Type,Rarity,Sky,Time,Weather,Spawn ID,Biomes,Anti-Biomes,Structures,Anti-Structures,Base Blocks,Nearby Blocks,Moon Phase,Anti-Moon Phase,Presets,Egg Groups,Weight,Context,Spawn Archive,Species Archive
594,Alomomola,water,,uncommon,MUST SEE,Any,Any,alomomola-1,Deep Ocean,Frozen Ocean,,,,,,,underwater,"water_1, water_2",10.0,submerged,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
334,Altaria,dragon,flying,uncommon,MUST SEE,Any,Any,altaria-1,Mountain,,,,,,,,natural,"flying, dragon",2.0,grounded,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
698,Amaura,rock,ice,ultra-rare,Any,Any,Any,amaura-1,Lush,,,,,,,,natural,monster,9.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
424,Ambipom,normal,,common,Any,Any,Any,ambipom-1,"Jungle, Tropical Land",,,,,,,,"natural, treetop",field,0.6,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
591,Amoonguss,grass,poison,uncommon,MUST SEE,Any,Any,amoonguss-1,Mushroom,,,,,,,,,grass,4.8,grounded,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
181,Ampharos,electric,,common,Any,Any,Any,ampharos-1,"Highlands, Plains",,,,,,,,natural,"monster, field",0.1,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
979,Annihilape,fighting,ghost,common,Any,Any,Any,annihilape-1,"Hills, Jungle",,,,,,,,"natural, treetop",field,0.06,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
347,Anorith,rock,bug,ultra-rare,Any,Any,Any,anorith-1,Lush,,,,,,,,natural,water_3,9.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
347,Anorith,rock,bug,ultra-rare,Any,Any,Any,anorith-2,Lush,,,,,,,,underwater,water_3,9.0,submerged,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
840,Applin,grass,dragon,rare,MUST SEE,Any,Any,applin-1,Forest,,,,,,,,,"grass, dragon",6.8,grounded,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
752,Araquanid,water,bug,common,MUST SEE,Any,Any,araquanid-1,"Swamp, Coast, Land",,,,,,,,,"water_1, bug",0.4,grounded,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
752,Araquanid,water,bug,common,MUST SEE,Any,Any,araquanid-2,"River, Freshwater",,,,,,,,"freshwater, underwater","water_1, bug",0.4,submerged,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
24,Arbok Snake_Pattern=Attack,poison,,common,Any,Any,Any,arbok-attack-1,Arid,,,,,,,,natural,"field, dragon",0.03,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
24,Arbok Snake_Pattern=Classic,poison,,common,Any,Any,Any,arbok-classic-1,Arid,,,,,,,,natural,"field, dragon",0.45,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
24,Arbok Snake_Pattern=Dark,poison,,common,Any,Any,Any,arbok-dark-2,Nether/ Desert,,,,,,,,natural,"field, dragon",0.6,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
24,Arbok Snake_Pattern=Elusive,poison,,common,Any,Any,Any,arbok-elusive-1,Arid,,,,,,,,natural,"field, dragon",0.03,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
24,Arbok Snake_Pattern=Legacy,poison,,common,Any,Any,Any,arbok-legacy-1,Arid,,,,,,,,natural,"field, dragon",0.03,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
24,Arbok Snake_Pattern=Sound,poison,,common,Any,Any,Any,arbok-sound-1,Arid,,,,,,,,natural,"field, dragon",0.03,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
24,Arbok Snake_Pattern=Speed,poison,,common,Any,Any,Any,arbok-speed-1,Arid,,,,,,,,natural,"field, dragon",0.03,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
59,Arcanine,fire,,common,Any,Any,Any,arcanine-1,Overworld,Desert,,,,,,,"natural, urban",field,0.6,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
59,Arcanine,fire,,common,Any,Any,Any,arcanine-2,Overworld,Desert,,,,,,,"natural, village",field,0.6,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
566,Archen,rock,flying,ultra-rare,Any,Any,Any,archen-1,Lush,,,,,,,,natural,"flying, water_3",9.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
567,Archeops,rock,flying,ultra-rare,Any,Any,Any,archeops-1,Lush,,,,,,,,natural,"flying, water_3",1.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
997,Arctibax,dragon,ice,rare,MUST SEE,Any,Any,arctibax-1,Glacial,,,,,,,,natural,"dragon, mineral",2.5,grounded,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
168,Ariados,bug,poison,common,Any,Any,Clear,ariados-1,"Forest, Jungle, Spooky",Freezing,,,,,,,"natural, treetop",bug,0.6,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
168,Ariados,bug,poison,common,Any,Any,Any,ariados-2,Overworld,Deep Dark,,,,,,,natural,bug,0.2,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
168,Ariados,bug,poison,common,CANNOT SEE,Any,Any,ariados-3,Overworld,Deep Dark,,,,,,,derelict,bug,0.6,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
168,Ariados,bug,poison,common,Any,Any,Any,ariados-4,,,,,,,,,"webs, natural",bug,1.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
168,Ariados,bug,poison,common,CANNOT SEE,Any,Any,ariados-5,Overworld,,,,,Cobweb,,,mansion,bug,1.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
348,Armaldo,rock,bug,ultra-rare,Any,Any,Any,armaldo-1,Lush,,,,,,,,natural,water_3,1.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
348,Armaldo,rock,bug,ultra-rare,Any,Any,Any,armaldo-2,Lush,,,,,,,,underwater,water_3,1.0,submerged,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
936,Armarouge,fire,psychic,common,Any,Any,Any,armarouge-1,Nether,,,,,,,,"natural, nether_structures",human_like,5.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
936,Armarouge,fire,psychic,uncommon,Any,Any,Any,armarouge-2,Overworld,,,,,,,,ruined_portal,human_like,1.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
304,Aron,steel,rock,common,Any,Any,Any,aron-1,Mountain,Deep Dark,,,,Iron Ore,,,"natural, wild",monster,9.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
304,Aron,steel,rock,uncommon,Any,Any,Any,aron-2,Overworld,Deep Dark,,,,Iron Ore,,,natural,monster,9.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
846,Arrokuda,water,,common,MUST SEE,Any,Any,arrokuda-1,"Ocean, Mangrove Swamp",Freezing,,,,,,,underwater,water_2,1.8,submerged,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
144,Articuno,ice,flying,ultra-rare,MUST SEE,Any,Rain,articuno,Glacial,,,,,,,,natural,undiscovered,0.01,grounded,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
144,Articuno Galarian,psychic,flying,ultra-rare,MUST SEE,Any,Any,articuno-galarian,Floral,,,,,,,,natural,undiscovered,0.01,grounded,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
699,Aurorus,rock,ice,ultra-rare,Any,Any,Any,aurorus-1,Lush,,,,,,,,natural,monster,1.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
713,Avalugg,ice,,common,Any,Any,Any,avalugg-1,Frozen Ocean,,,,,,,,natural,"monster, mineral",1.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
713,Avalugg,ice,,common,Any,Any,Any,avalugg-2,Frozen Ocean,,,,,,,,water_surface,"monster, mineral",1.0,surface,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
713,Avalugg,ice,,common,Any,Any,Any,avalugg-3,Nether/ Frozen,,,,,,,,natural,"monster, mineral",1.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
610,Axew,dragon,,rare,MUST SEE,Any,Any,axew-1,"Mountain, Highlands",,,,,,,,,"monster, dragon",3,grounded,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
482,Azelf,psychic,,ultra-rare,MUST SEE,Any,Any,azelf-1,River,,,,,,,,natural,undiscovered,0.1,grounded,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
184,Azumarill,water,fairy,uncommon,MUST SEE,Any,Any,azumarill-1,River,,,,,,,,,"water_1, fairy",2.5,grounded,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
298,Azurill,normal,fairy,uncommon,MUST SEE,Any,Any,azurill-1,River,,,,,,,,,undiscovered,3.8,grounded,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
343,Baltoy,ground,psychic,uncommon,Any,Any,Any,baltoy-1,Sandy,Deep Dark,,,,,,,natural,mineral,5.4,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
343,Baltoy,ground,psychic,common,CANNOT SEE,Any,Any,baltoy-2,Overworld,,,,,,,,"natural, desert_pyramid",mineral,54.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
343,Baltoy,ground,psychic,common,Any,Any,Any,baltoy-3,Howling Constructs,,,Sempiternal Sanctums,,,,,,mineral,5.4,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
354,Banette,ghost,,common,CANNOT SEE,Any,Any,banette-1,Deep Dark,,,,,,,,,amorphous,2.0,grounded,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
354,Banette,ghost,,rare,Any,Any,Any,banette-2,Overworld,,,,,,,,natural,amorphous,1.0,grounded,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
339,Barboach,water,ground,common,MUST SEE,Any,Any,barboach-1,Swamp,,,,,,,,underwater,water_2,9.0,submerged,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
847,Barraskewda,water,,common,MUST SEE,Any,Any,barraskewda-1,"Ocean, Mangrove Swamp",Freezing,,,,,,,underwater,water_2,0.2,submerged,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
902,Basculegion,water,ghost,uncommon,MUST SEE,Any,Any,basculegion-1,,,,,,,"1,5",,"freshwater, underwater",water_2,0.01,submerged,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
550,Basculin Striped=Blue,water,,common,MUST SEE,Any,Any,basculin-blue-1,,,,,,,"2,3,4",,"freshwater, underwater",water_2,10.0,submerged,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
550,Basculin Striped=Blue,water,,uncommon,MUST SEE,Any,Any,basculin-blue-2,,,,,,,"6,7,8",,"freshwater, underwater",water_2,0.1,submerged,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
550,Basculin Striped=Blue,water,,common,MUST SEE,Any,Any,basculin-blue-3,,,,,,,"1,5",,"freshwater, underwater",water_2,5.0,submerged,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
550,Basculin Striped=Red,water,,common,MUST SEE,Any,Any,basculin-red-4,,,,,,,"6,7,8",,"freshwater, underwater",water_2,10.0,submerged,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
550,Basculin Striped=Red,water,,uncommon,MUST SEE,Any,Any,basculin-red-5,,,,,,,"2,3,4",,"freshwater, underwater",water_2,0.1,submerged,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
550,Basculin Striped=Red,water,,common,MUST SEE,Any,Any,basculin-red-6,,,,,,,"1,5",,"freshwater, underwater",water_2,5.0,submerged,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
550,Basculin Striped=White,water,,uncommon,MUST SEE,Any,Any,basculin-white-7,,,,,,,"1,5",,"freshwater, underwater",water_2,0.09,submerged,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
411,Bastiodon,rock,steel,ultra-rare,Any,Any,Any,bastiodon-1,Lush,,,,,,,,natural,monster,1.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
998,Baxcalibur,dragon,ice,rare,MUST SEE,Any,Any,baxcalibur-1,Glacial,,,,,,,,natural,"dragon, mineral",1.0,grounded,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
153,Bayleef,grass,,ultra-rare,Any,Any,Any,bayleef-1,Floral,,,,,,,,natural,"monster, grass",0.9,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
153,Bayleef,grass,,ultra-rare,Any,Any,Any,bayleef-2,Floral Meadow,,,Sempiternal Sanctums,,,,,,"monster, grass",0.9,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
614,Beartic,ice,,common,Any,Any,Any,beartic-1,Frozen Ocean,,,,,,,,"natural, wild",field,0.2,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
15,Beedrill,bug,poison,common,Any,Any,Clear,beedrill-1,"Forest, Jungle",Freezing,,,,,,,natural,bug,1.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
15,Beedrill,bug,poison,common,Any,Any,Any,beedrill-2,The Bumblezone,,,Sempiternal Sanctums,,,,,,bug,5.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
606,Beheeyem,psychic,,uncommon,Any,Any,Any,beheeyem-1,End,,,,,,,,natural,human_like,1.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
606,Beheeyem,psychic,,common,Any,Any,Any,beheeyem-2,Overworld,,,,,Wheat,,,natural,human_like,1.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
606,Beheeyem,psychic,,common,Any,Any,Any,beheeyem-3,Howling Constructs,,,Sempiternal Sanctums,,,,,,human_like,0.6,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
374,Beldum,steel,psychic,ultra-rare,Any,Any,Any,beldum-1,"Dripstone, Peak",,,,,,,,natural,mineral,9.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
374,Beldum,steel,psychic,rare,Any,Any,Any,beldum-2,End,,,,,,,,natural,mineral,9.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
374,Beldum,steel,psychic,rare,Any,Any,Any,beldum-3,Howling Constructs,,,Sempiternal Sanctums,,,,,,mineral,9.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
939,Bellibolt,electric,,uncommon,MUST SEE,Any,Any,bellibolt-1,Swamp,,,,,,,,,water_1,2.8,grounded,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
182,Bellossom,grass,,common,Any,Any,Any,bellossom-1,Floral,,,,,,,,natural,grass,0.1,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
182,Bellossom,grass,,common,Any,Any,Any,bellossom-2,Jungle,,,,,,,,natural,grass,0.02,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
182,Bellossom Valencian,grass,,common,Any,Any,Any,bellossom-valencian-3,"Savanna, Tropical Land",,,,,,,,natural,grass,0.02,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
69,Bellsprout,grass,poison,common,Any,Any,Any,bellsprout-1,Jungle,,,,,,,,natural,grass,9.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
712,Bergmite,ice,,common,Any,Any,Any,bergmite-1,Frozen Ocean,,,,,,,,natural,"monster, mineral",9.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
712,Bergmite,ice,,common,Any,Any,Any,bergmite-2,Frozen Ocean,,,,,,,,water_surface,"monster, mineral",9.0,surface,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
712,Bergmite,ice,,common,Any,Any,Any,bergmite-3,Nether/ Frozen,,,,,,,,natural,"monster, mineral",9.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
760,Bewear,normal,fighting,common,Any,Any,Any,bewear-1,Bamboo,,,,,,,,natural,field,1.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
400,Bibarel,normal,water,common,Any,Any,Any,bibarel-1,Freshwater,,,,,,,,"natural, freshwater","water_1, field",1.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
400,Bibarel,normal,water,uncommon,Any,Any,Any,bibarel-2,Freshwater,,,,,,,,"freshwater, water_surface","water_1, field",1.0,surface,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
399,Bidoof,normal,,uncommon,Any,Any,Any,bidoof-1,Freshwater,,,,,,,,"freshwater, water_surface","water_1, field",9.0,surface,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
399,Bidoof,normal,,common,Any,Any,Any,bidoof-2,Freshwater,,,,,,,,"natural, freshwater","water_1, field",9.0,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
625,Bisharp,dark,steel,rare,Any,Any,Any,bisharp-1,Bamboo,,,,,,,,natural,human_like,4,grounded,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
806,Blacephalon,fire,ghost,ultra-rare,MUST SEE,Any,Any,blacephalon-1,Lunar Wastelands,,,,,,,,natural,undiscovered,3.8,grounded,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
806,Blacephalon,fire,ghost,ultra-rare,Any,Any,Any,blacephalon-2,End,,,,,,,,natural,undiscovered,4.0,grounded,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
9,Blastoise,water,,ultra-rare,Any,Any,Any,blastoise-1,,,,,,,,,"natural, river","monster, water_1",0.1,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
9,Blastoise,water,,ultra-rare,MUST SEE,Any,Any,blastoise-2,,,,,,,,,"river, underwater","monster, water_1",0.1,submerged,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
257,Blaziken,fire,fighting,ultra-rare,Any,Any,Any,blaziken-1,Plains,,,,,,,,natural,field,0.1,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
824,Blipbug,bug,,common,MUST SEE,Any,Any,blipbug-1,Forest,Spooky,,,,,,,"natural, treetop",bug,7.0,grounded,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
824,Blipbug,bug,,common,MUST SEE,Any,Any,blipbug-2,Plains,,,,,,,,"natural, foliage, treetop",bug,7.0,grounded,BCG x AllTheMons 1.1.1.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
242,Blissey,normal,,rare,Any,Any,Any,blissey-1,Overworld,,,,,,,,"natural, urban",fairy,0.1,grounded,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
