Dex Number,Pokemon Name,Primary Type,Secondary Type,Rarity,Sky,Time,Weather,Biomes,Anti-Biomes,Structures,Anti-Structures,Base Blocks,Nearby Blocks,Moon Phase,Anti-Moon Phase,Presets,Generation,Labels,Egg Groups,Weight,Context,Spawn ID,Species Archive,Original Spawn Archive,Original Species Archive
306,Aggron,Steel,Rock,Common,Any,Any,Any,Mountain,Deep Dark,,,,Iron Ore,,,"Natural, Wild",Gen 3,,Monster,0.1,Grounded,aggron-1,generation3,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
306,Aggron,Steel,Rock,Uncommon,0 - 7,Any,Any,Overworld,Deep Dark,,,,Iron Ore,,,Natural,Gen 3,,Monster,0.1,Grounded,aggron-2,generation3,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
190,Aipom,Normal,-----,Common,8 - 15,Any,Any,"Jungle, Tropical Island",,,,,,,,"Natural, Treetop",Gen 2,,Field,5.4,Grounded,aipom-1,generation2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
65,Alakazam,Psychic,-----,Rare,8 - 15,Night,Any,"Hills, Temperate",Magical,,,,,,,Natural,Gen 1,,Human_Like,0.1,Grounded,alakazam-1,generation1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
65,Alakazam,Psychic,-----,Uncommon,8 - 15,Night,Any,Magical,,,,,,,,Natural,Gen 1,,Human_Like,0.1,Grounded,alakazam-2,generation1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
65,Alakazam,Psychic,-----,Common,CANNOT SEE,Any,Any,Overworld,,,,,,,,Mansion,Gen 1,,Human_Like,0.02,Grounded,alakazam-3,generation1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
869,Alcremie,Fairy,-----,Common,Any,Any,Any,Overworld,,,,,Cake,,,,Gen 8,,"Fairy, Amorphous",1.0,Grounded,alcremie-1,generation8,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
869,Alcremie,Fairy,-----,Uncommon,Any,Any,Any,Overworld,,,,,Sugar Cane,,,,Gen 8,,"Fairy, Amorphous",0.2,Grounded,alcremie-2,generation8,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
869,Alcremie,Fairy,-----,Common,CANNOT SEE,Any,Any,Overworld,,,,,"Light Grey Carpet, Magenta Carpet, White Carpet",,,Mansion,Gen 8,,"Fairy, Amorphous",0.2,Grounded,alcremie-3,generation8,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
594,Alomomola,Water,-----,Uncommon,MUST SEE,Any,Any,Deep Ocean,Frozen Ocean,,,,,,,Underwater,Gen 5,,"Water_1, Water_2",10.0,Submerged,alomomola-1,generation5,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
334,Altaria,Dragon,Flying,Uncommon,MUST SEE,Any,Any,Mountain,,,,,,,,Natural,Gen 3,,"Flying, Dragon",2.0,Grounded,altaria-1,generation3,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
698,Amaura,Rock,Ice,Ultra-Rare,0 - 7,Any,Any,Lush,,,,,,,,Natural,Gen 6,,Monster,9.0,Grounded,amaura-1,generation6,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
424,Ambipom,Normal,-----,Common,8 - 15,Any,Any,"Jungle, Tropical Island",,,,,,,,"Natural, Treetop",Gen 4,,Field,0.6,Grounded,ambipom-1,generation4,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
591,Amoonguss,Grass,Poison,Uncommon,MUST SEE,Any,Any,Mushroom,,,,,,,,,Gen 5,,Grass,4.8,Grounded,amoonguss-1,generation5,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
181,Ampharos,Electric,-----,Common,8 - 15,Any,Any,"Highlands, Plains",,,,,,,,Natural,Gen 2,,"Monster, Field",0.1,Grounded,ampharos-1,generation2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
979,Annihilape,Fighting,Ghost,Common,8 - 15,Any,Any,"Hills, Jungle",,,,,,,,"Natural, Treetop",Gen 9,,Field,0.06,Grounded,annihilape-1,generation9,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
347,Anorith,Rock,Bug,Ultra-Rare,0 - 7,Any,Any,Lush,,,,,,,,Natural,Gen 3,,Water_3,9.0,Grounded,anorith-1,generation3,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
347,Anorith,Rock,Bug,Ultra-Rare,0 - 7,Any,Any,Lush,,,,,,,,Underwater,Gen 3,,Water_3,9.0,Submerged,anorith-2,generation3,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
840,Applin,Grass,Dragon,Rare,MUST SEE,Any,Any,Forest,,,,,,,,,Gen 8,,"Grass, Dragon",6.8,Grounded,applin-1,generation8,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
752,Araquanid,Water,Bug,Common,MUST SEE,Any,Any,"Swamp, Coast, Island",,,,,,,,,Gen 7,,"Water_1, Bug",0.4,Grounded,araquanid-1,generation7,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
752,Araquanid,Water,Bug,Common,MUST SEE,Any,Any,"River, Freshwater",,,,,,,,"Freshwater, Underwater",Gen 7,,"Water_1, Bug",0.4,Submerged,araquanid-2,generation7,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
24,Arbok Snake_Pattern=Attack,Poison,-----,Common,8 - 15,Any,Any,Arid,,,,,,,,Natural,Gen 1,,"Field, Dragon",0.03,Grounded,arbok-attack-1,generation1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
24,Arbok Snake_Pattern=Classic,Poison,-----,Common,8 - 15,Any,Any,Arid,,,,,,,,Natural,Gen 1,,"Field, Dragon",0.45,Grounded,arbok-classic-1,generation1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
24,Arbok Snake_Pattern=Dark,Poison,-----,Common,Any,Any,Any,Nether: Is Desert,,,,,,,,Natural,Gen 1,,"Field, Dragon",0.6,Grounded,arbok-dark-2,generation1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
24,Arbok Snake_Pattern=Elusive,Poison,-----,Common,8 - 15,Any,Any,Arid,,,,,,,,Natural,Gen 1,,"Field, Dragon",0.03,Grounded,arbok-elusive-1,generation1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
24,Arbok Snake_Pattern=Legacy,Poison,-----,Common,8 - 15,Any,Any,Arid,,,,,,,,Natural,Gen 1,,"Field, Dragon",0.03,Grounded,arbok-legacy-1,generation1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
24,Arbok Snake_Pattern=Sound,Poison,-----,Common,8 - 15,Any,Any,Arid,,,,,,,,Natural,Gen 1,,"Field, Dragon",0.03,Grounded,arbok-sound-1,generation1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
24,Arbok Snake_Pattern=Speed,Poison,-----,Common,8 - 15,Any,Any,Arid,,,,,,,,Natural,Gen 1,,"Field, Dragon",0.03,Grounded,arbok-speed-1,generation1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
59,Arcanine Hisuian,Fire,Rock,Rare,MUST SEE,Any,Any,Peak,,,,,,,,Natural,Gen 1,Kanto Regional,Field,5.0,Grounded,arcanine-2,generation1,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
59,Arcanine Hisuian,Fire,Rock,Rare,MUST SEE,Any,Any,Peak,,,,,,,,Natural,Gen 1,Kanto Regional,Field,5.0,Grounded,arcanine-3,generation1,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
566,Archen,Rock,Flying,Ultra-Rare,0 - 7,Any,Any,Lush,,,,,,,,Natural,Gen 5,,"Flying, Water_3",9.0,Grounded,archen-1,generation5,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
567,Archeops,Rock,Flying,Ultra-Rare,0 - 7,Any,Any,Lush,,,,,,,,Natural,Gen 5,,"Flying, Water_3",1.0,Grounded,archeops-1,generation5,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
997,Arctibax,Dragon,Ice,Rare,MUST SEE,Any,Any,Glacial,,,,,,,,Natural,Gen 9,,"Dragon, Mineral",2.5,Grounded,arctibax-1,generation9,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
168,Ariados,Bug,Poison,Common,8 - 15,Night,Clear,"Forest, Jungle, Spooky",Freezing,,,,,,,"Natural, Treetop",Gen 2,,Bug,0.6,Grounded,ariados-1,generation2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
168,Ariados,Bug,Poison,Common,0 - 7,Any,Any,Overworld,Deep Dark,,,,,,,Natural,Gen 2,,Bug,0.2,Grounded,ariados-2,generation2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
168,Ariados,Bug,Poison,Common,CANNOT SEE,Any,Any,Overworld,Deep Dark,,,,,,,Derelict,Gen 2,,Bug,0.6,Grounded,ariados-3,generation2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
168,Ariados,Bug,Poison,Common,0 - 7,Any,Any,,,,,,,,,"Webs, Natural",Gen 2,,Bug,1.0,Grounded,ariados-4,generation2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
168,Ariados,Bug,Poison,Common,CANNOT SEE,Any,Any,Overworld,,,,,Cobweb,,,Mansion,Gen 2,,Bug,1.0,Grounded,ariados-5,generation2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
348,Armaldo,Rock,Bug,Ultra-Rare,0 - 7,Any,Any,Lush,,,,,,,,Natural,Gen 3,,Water_3,1.0,Grounded,armaldo-1,generation3,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
348,Armaldo,Rock,Bug,Ultra-Rare,0 - 7,Any,Any,Lush,,,,,,,,Underwater,Gen 3,,Water_3,1.0,Submerged,armaldo-2,generation3,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
936,Armarouge,Fire,Psychic,Common,Any,Any,Any,Nether,,,,,,,,"Natural, Nether_Structures",Gen 9,,Human_Like,5.0,Grounded,armarouge-1,generation9,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
936,Armarouge,Fire,Psychic,Uncommon,Any,Any,Any,Overworld,,,,,,,,Ruined_Portal,Gen 9,,Human_Like,1.0,Grounded,armarouge-2,generation9,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
304,Aron,Steel,Rock,Common,Any,Any,Any,Mountain,Deep Dark,,,,Iron Ore,,,"Natural, Wild",Gen 3,,Monster,9.0,Grounded,aron-1,generation3,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
304,Aron,Steel,Rock,Uncommon,0 - 7,Any,Any,Overworld,Deep Dark,,,,Iron Ore,,,Natural,Gen 3,,Monster,9.0,Grounded,aron-2,generation3,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
846,Arrokuda,Water,-----,Common,MUST SEE,Any,Any,"Ocean, Mangrove Swamp",Freezing,,,,,,,Underwater,Gen 8,,Water_2,1.8,Submerged,arrokuda-1,generation8,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
144,Articuno,Ice,Flying,Ultra-Rare,MUST SEE,Any,Rain,Glacial,,,,,,,,Natural,Gen 1,"Legendary, Kanto Regional",Undiscovered,1.0,Grounded,articuno,generation1,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
144,Articuno Galarian,Psychic,Flying,Ultra-Rare,MUST SEE,Any,Any,Floral,,,,,,,,Natural,Gen 1,"Legendary, Kanto Regional",Undiscovered,1.0,Grounded,articuno-galarian,generation1,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
699,Aurorus,Rock,Ice,Ultra-Rare,0 - 7,Any,Any,Lush,,,,,,,,Natural,Gen 6,,Monster,1.0,Grounded,aurorus-1,generation6,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
713,Avalugg,Ice,-----,Common,8 - 15,Any,Any,Frozen Ocean,,,,,,,,Natural,Gen 6,Kalos Regional,"Monster, Mineral",1.0,Grounded,avalugg-1,generation6,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
713,Avalugg,Ice,-----,Common,8 - 15,Any,Any,Frozen Ocean,,,,,,,,Water_Surface,Gen 6,Kalos Regional,"Monster, Mineral",1.0,Surface,avalugg-2,generation6,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
713,Avalugg,Ice,-----,Common,Any,Any,Any,Nether: Is Frozen,,,,,,,,Natural,Gen 6,Kalos Regional,"Monster, Mineral",1.0,Grounded,avalugg-3,generation6,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
610,Axew,Dragon,-----,Rare,MUST SEE,Any,Any,"Mountain, Highlands",,,,,,,,,Gen 5,,"Monster, Dragon",3,Grounded,axew-1,generation5,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
482,Azelf,Psychic,-----,Ultra-Rare,MUST SEE,Any,Any,River,,,,,,,,Natural,Gen 4,Legendary,Undiscovered,1.0,Grounded,azelf-1,generation4,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
184,Azumarill,Water,Fairy,Uncommon,MUST SEE,Any,Any,River,,,,,,,,,Gen 2,,"Water_1, Fairy",2.5,Grounded,azumarill-1,generation2,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
298,Azurill,Normal,Fairy,Uncommon,MUST SEE,Any,Any,River,,,,,,,,,Gen 3,Baby,Undiscovered,3.8,Grounded,azurill-1,generation3,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
343,Baltoy,Ground,Psychic,Uncommon,0 - 7,Any,Any,Sandy,Deep Dark,,,,,,,Natural,Gen 3,,Mineral,5.4,Grounded,baltoy-1,generation3,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
343,Baltoy,Ground,Psychic,Common,CANNOT SEE,Any,Any,Overworld,,,,,,,,"Natural, Desert_Pyramid",Gen 3,,Mineral,54.0,Grounded,baltoy-2,generation3,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
343,Baltoy,Ground,Psychic,Common,Any,Any,Any,Howling Constructs,,,Sempiternal Sanctums,,,,,,Gen 3,,Mineral,5.4,Grounded,baltoy-3,generation3,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
354,Banette,Ghost,-----,Common,CANNOT SEE,Any,Any,Deep Dark,,,,,,,,,Gen 3,,Amorphous,2.0,Grounded,banette-1,generation3,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
354,Banette,Ghost,-----,Rare,Any,Night,Any,Overworld,,,,,,,,Natural,Gen 3,,Amorphous,1.0,Grounded,banette-2,generation3,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
339,Barboach,Water,Ground,Common,MUST SEE,Any,Any,Swamp,,,,,,,,Underwater,Gen 3,,Water_2,9.0,Submerged,barboach-1,generation3,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
847,Barraskewda,Water,-----,Common,MUST SEE,Any,Any,"Ocean, Mangrove Swamp",Freezing,,,,,,,Underwater,Gen 8,,Water_2,0.2,Submerged,barraskewda-1,generation8,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
902,Basculegion,Water,Ghost,Uncommon,MUST SEE,Any,Any,,,,,,,"1,5",,"Freshwater, Underwater",Gen 8,,Water_2,0.01,Submerged,basculegion-1,generation8,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
550,Basculin Striped=Blue,Water,-----,Common,MUST SEE,Any,Any,,,,,,,"2,3,4",,"Freshwater, Underwater",Gen 5,,Water_2,10.0,Submerged,basculin-blue-1,generation5,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
550,Basculin Striped=Blue,Water,-----,Uncommon,MUST SEE,Any,Any,,,,,,,"6,7,8",,"Freshwater, Underwater",Gen 5,,Water_2,0.1,Submerged,basculin-blue-2,generation5,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
550,Basculin Striped=Blue,Water,-----,Common,MUST SEE,Any,Any,,,,,,,"1,5",,"Freshwater, Underwater",Gen 5,,Water_2,5.0,Submerged,basculin-blue-3,generation5,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
550,Basculin Striped=Red,Water,-----,Common,MUST SEE,Any,Any,,,,,,,"6,7,8",,"Freshwater, Underwater",Gen 5,,Water_2,10.0,Submerged,basculin-red-4,generation5,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
550,Basculin Striped=Red,Water,-----,Uncommon,MUST SEE,Any,Any,,,,,,,"2,3,4",,"Freshwater, Underwater",Gen 5,,Water_2,0.1,Submerged,basculin-red-5,generation5,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
550,Basculin Striped=Red,Water,-----,Common,MUST SEE,Any,Any,,,,,,,"1,5",,"Freshwater, Underwater",Gen 5,,Water_2,5.0,Submerged,basculin-red-6,generation5,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
550,Basculin Striped=White,Water,-----,Uncommon,MUST SEE,Any,Any,,,,,,,"1,5",,"Freshwater, Underwater",Gen 5,,Water_2,0.09,Submerged,basculin-white-7,generation5,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
411,Bastiodon,Rock,Steel,Ultra-Rare,8 - 15,Any,Any,Lush,,,,,,,,Natural,Gen 4,,Monster,1.0,Grounded,bastiodon-1,generation4,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
998,Baxcalibur,Dragon,Ice,Rare,MUST SEE,Any,Any,Glacial,,,,,,,,Natural,Gen 9,Pseudo Legendary,"Dragon, Mineral",1.0,Grounded,baxcalibur-1,generation9,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
153,Bayleef,Grass,-----,Ultra-Rare,8 - 15,Any,Any,Floral,,,,,,,,Natural,Gen 2,,"Monster, Grass",0.9,Grounded,bayleef-1,generation2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
153,Bayleef,Grass,-----,Ultra-Rare,8 - 15,Any,Any,Floral Meadow,,,Sempiternal Sanctums,,,,,,Gen 2,,"Monster, Grass",0.9,Grounded,bayleef-2,generation2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
614,Beartic,Ice,-----,Common,8 - 15,Any,Any,Frozen Ocean,,,,,,,,"Natural, Wild",Gen 5,,Field,0.2,Grounded,beartic-1,generation5,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
15,Beedrill,Bug,Poison,Common,8 - 15,Day,Clear,"Forest, Jungle",Freezing,,,,,,,Natural,Gen 1,,Bug,1.0,Grounded,beedrill-1,generation1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
15,Beedrill,Bug,Poison,Common,Any,Any,Any,The Bumblezone,,,Sempiternal Sanctums,,,,,,Gen 1,,Bug,5.0,Grounded,beedrill-2,generation1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
606,Beheeyem,Psychic,-----,Uncommon,Any,Any,Any,End,,,,,,,,Natural,Gen 5,,Human_Like,1.0,Grounded,beheeyem-1,generation5,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
606,Beheeyem,Psychic,-----,Common,8 - 15,Night,Any,Overworld,,,,,Wheat,,,Natural,Gen 5,,Human_Like,1.0,Grounded,beheeyem-2,generation5,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
606,Beheeyem,Psychic,-----,Common,Any,Any,Any,Howling Constructs,,,Sempiternal Sanctums,,,,,,Gen 5,,Human_Like,0.6,Grounded,beheeyem-3,generation5,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
374,Beldum,Steel,Psychic,Ultra-Rare,Any,Any,Any,"Dripstone, Peak",,,,,,,,Natural,Gen 3,,Mineral,9.0,Grounded,beldum-1,generation3,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
374,Beldum,Steel,Psychic,Rare,Any,Any,Any,End,,,,,,,,Natural,Gen 3,,Mineral,9.0,Grounded,beldum-2,generation3,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
374,Beldum,Steel,Psychic,Rare,Any,Any,Any,Howling Constructs,,,Sempiternal Sanctums,,,,,,Gen 3,,Mineral,9.0,Grounded,beldum-3,generation3,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
939,Bellibolt,Electric,-----,Uncommon,MUST SEE,Any,Any,Swamp,,,,,,,,,Gen 9,,Water_1,2.8,Grounded,bellibolt-1,generation9,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
182,Bellossom,Grass,-----,Common,8 - 15,Day,Any,Floral,,,,,,,,Natural,Gen 2,,Grass,0.1,Grounded,bellossom-1,generation2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
182,Bellossom,Grass,-----,Common,8 - 15,Day,Any,Jungle,,,,,,,,Natural,Gen 2,,Grass,0.02,Grounded,bellossom-2,generation2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
182,Bellossom Valencian,Grass,-----,Common,8 - 15,Day,Any,"Savanna, Tropical Island",,,,,,,,Natural,Gen 2,,Grass,0.02,Grounded,bellossom-valencian-3,generation2,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
69,Bellsprout,Grass,Poison,Common,8 - 15,Any,Any,Jungle,,,,,,,,Natural,Gen 1,,Grass,9.0,Grounded,bellsprout-1,generation1,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
