Dex Number,Pokemon Name,Primary Type,Secondary Type,Egg Groups,Spawn ID,Biomes,Anti-Biomes,Structures,Anti-Structures,Time,Weather,Moon Phase,Anti-Moon Phase,Presets,Weight,Bucket,Sky,Context,Source File
194,Wooper,water,ground,"water_1, field",wooper-3,Overworld,Lush,,,Any,Any,,,natural,9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
194,Wooper,water,ground,"water_1, field",wooper-4,Overworld,Lush,,,Any,Any,,,underwater,9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
194,Wooper,water,ground,"water_1, field",wooper-5,Swamp,Has Block/Mud,,,Any,Rain,,,natural,1.8,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
194,Wooper,water,ground,"water_1, field",wooper-6,Swamp,Has Block/Mud,,,Any,Any,,,underwater,1.8,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
194,Wooper Paldean,water,ground,"water_1, field",wooper-paldean-7,Has Block/Mud,,,,Any,Any,,,natural,9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
194,Wooper Paldean,water,ground,"water_1, field",wooper-paldean-8,Has Block/Mud,,,,Any,Any,,,underwater,9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
194,Wooper Paldean,water,ground,"water_1, field",wooper-paldean-9,Savanna,,,,Any,Any,,,natural,9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
194,Wooper Paldean,water,ground,"water_1, field",wooper-paldean-10,Savanna,,,,Any,Any,,,underwater,9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
102,Exeggcute,grass,psychic,grass,exeggcute-1,Jungle,,,,Any,Any,,,natural,1.8,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
102,Exeggcute Region_Bias=Alola,grass,psychic,grass,exeggcute-alola-2,"Beach, Tropical Land",Freezing,,,Any,Any,,,natural,9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
981,Farigiraf,normal,psychic,field,Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
1001,Wo-Chien,dark,grass,undiscovered,Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
214,Heracross,bug,fighting,bug,heracross-1,Forest,"Freezing, Spooky",,,Any,Any,,,"natural, treetop, wild",2.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
214,Heracross,bug,fighting,bug,heracross-2,"Jungle, Tropical Land",,,,Any,Any,,,"natural, treetop, wild",2.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
214,Heracross,bug,fighting,bug,heracross-3,Crystal Canyon,,,Sempiternal Sanctums,Any,Any,,,,10.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
944,Shroodle,poison,normal,field,shroodle-1,"Jungle, Tropical Land",,,,Any,Any,,,"natural, treetop, wild",1.8,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
891,Kubfu,fighting,,undiscovered,kubfu-1,Floral,,,,Any,Any,,,natural,3,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
3863,Deoxys-Speed,psychic,,undiscovered,Not Available,,,,,,,,,,,,,,BCG x AllTheMons 1.1.1.zip
844,Sandaconda,ground,,"field, dragon",Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
408,Cranidos,rock,,monster,cranidos-1,Lush,,,,Any,Any,,,natural,9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
406,Budew,grass,poison,undiscovered,budew-1,Floral,,,,Any,Any,,,natural,9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
406,Budew,grass,poison,undiscovered,budew-2,Floral Meadow,,,Sempiternal Sanctums,Any,Any,,,,9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
423,Gastrodon West=True,water,ground,"water_1, amorphous",gastrodon-west,Beach,,,,Any,Any,,,,4,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
606,Beheeyem,psychic,,human_like,beheeyem-1,End,,,,Any,Any,,,natural,1.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
606,Beheeyem,psychic,,human_like,beheeyem-2,Overworld,,,,Any,Any,,,natural,1.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
606,Beheeyem,psychic,,human_like,beheeyem-3,Howling Constructs,,,Sempiternal Sanctums,Any,Any,,,,0.6,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
94,Gengar,ghost,poison,amorphous,gengar-1,Overworld,Deep Dark,,,Any,Any,,,natural,0.1,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
94,Gengar,ghost,poison,amorphous,gengar-2,Overworld,Deep Dark,,,Any,Any,,,derelict,0.06,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
94,Gengar,ghost,poison,amorphous,gengar-3,Spooky,,,,Any,Any,,,natural,0.1,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
94,Gengar,ghost,poison,amorphous,gengar-4,Nether,,,,Any,Any,,,natural,0.1,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
461,Weavile,dark,ice,field,weavile-1,Taiga,,,,Any,Any,,,"natural, wild",1.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
206,Dunsparce,normal,,field,Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
90,Shellder,water,,water_3,shellder-1,"Cold Ocean, Frozen Ocean",,,,Any,Any,,,underwater,9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
90,Shellder,water,,water_3,shellder-2,Ocean,"Cold Ocean, Frozen Ocean",,,Any,Any,,,underwater,5.4,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
693,Clawitzer,water,,"water_1, water_3",Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
44,Gloom,grass,poison,grass,gloom-1,Jungle,,,,Any,Any,,,natural,0.9,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
44,Gloom,grass,poison,grass,gloom-2,Temperate,,,,Any,Any,,,natural,0.18,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
44,Gloom Valencian,grass,poison,grass,gloom-valencian-3,"Savanna, Tropical Land",,,,Any,Any,,,natural,0.18,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
404,Luxio,electric,,field,luxio-1,"Desert, Savanna",,,,Any,Any,,,"natural, wild",0.9,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
397,Staravia,normal,flying,flying,staravia-1,"Hills, Sky, Snowy Forest, Taiga",Arid,,,Any,Any,,,"natural, treetop",0.9,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
825,Dottler,bug,psychic,bug,dottler-1,Forest,Spooky,,,Any,Any,,,"natural, treetop",2.0,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
825,Dottler,bug,psychic,bug,dottler-2,Plains,,,,Any,Any,,,"natural, foliage, treetop",2.0,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
903,Sneasler,fighting,poison,field,sneasler-1,Mountain,"Arid, Taiga",,,Any,Any,,,"natural, wild",1.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
824,Blipbug,bug,,bug,blipbug-1,Forest,Spooky,,,Any,Any,,,"natural, treetop",7.0,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
824,Blipbug,bug,,bug,blipbug-2,Plains,,,,Any,Any,,,"natural, foliage, treetop",7.0,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
428,Lopunny,normal,,"field, human_like",lopunny-1,"Forest, Hills, Snowy Forest, Snowy Taiga, Taiga",,,,Any,Any,,,"natural, wild",1.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
481,Mesprit,psychic,,undiscovered,mesprit-1,River,,,,Any,Any,,,natural,0.1,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
896,Glastrier,ice,,undiscovered,glastrier-1,Freezing,,,,Any,Any,,,natural,1.0,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
984,Great Tusk,ground,fighting,undiscovered,Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
990,Iron Treads,ground,steel,undiscovered,Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
924,Tandemaus,normal,,"field, fairy",tandemaus-1,Temperate,,,,Any,Any,,,"natural, wild",1.8,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
924,Tandemaus,normal,,"field, fairy",tandemaus-2,Overworld,"Freezing, Sandy",,,Any,Any,,,"natural, urban",5.4,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
924,Tandemaus,normal,,"field, fairy",tandemaus-3,Overworld,"Freezing, Sandy",,,Any,Any,,,"natural, village",5.4,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
924,Tandemaus,normal,,"field, fairy",tandemaus-4,Overworld,,,,Any,Any,,,mansion,9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
350,Milotic,water,,"water_1, dragon",milotic-1,,,,,Any,Any,,,"freshwater, underwater",0.5,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
289,Slaking,normal,,field,Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
454,Toxicroak,poison,fighting,human_like,toxicroak-1,Swamp,,,,Any,Any,,,,0.78,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
454,Toxicroak,poison,fighting,human_like,toxicroak-2,Swamp,,,,Any,Rain,,,,1.45,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
305,Lairon,steel,rock,monster,lairon-1,Mountain,Deep Dark,,,Any,Any,,,"natural, wild",0.9,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
305,Lairon,steel,rock,monster,lairon-2,Overworld,Deep Dark,,,Any,Any,,,natural,0.9,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
587,Emolga,electric,flying,field,emolga-1,Taiga,,,,Any,Any,,,"natural, treetop",10.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
621,Druddigon,dragon,,"monster, dragon",Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
276,Taillow,normal,flying,flying,taillow-1,"Sky, Temperate",Spooky,,,Any,Any,,,"natural, treetop",9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
155,Cyndaquil,fire,,field,cyndaquil-1,Temperate,Spooky,,,Any,Any,,,natural,9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
155,Cyndaquil Region_Bias=Hisui,fire,,field,cyndaquil-hisui-2,Taiga,,,,Any,Clear,,,natural,9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
155,Cyndaquil Region_Bias=Hisui,fire,,field,cyndaquil-hisui-3,"Nether/ Crimson, Nether/ Forest, Nether/ Overgrowth",,,,Any,Any,,,natural,9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
332,Cacturne,grass,dark,"grass, human_like",cacturne-1,Sandy,,,,Any,Any,,,natural,1.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
479,Rotom,electric,ghost,amorphous,Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
982,Dudunsparce,normal,,field,Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
341,Corphish,water,,"water_1, water_3",Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
23,Ekans Snake_Pattern=Classic,poison,,"field, dragon",ekans-classic-1,Arid,,,,Any,Any,,,natural,4.05,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
23,Ekans Snake_Pattern=Legacy,poison,,"field, dragon",ekans-legacy-1,Arid,,,,Any,Any,,,natural,0.27,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
23,Ekans Snake_Pattern=Attack,poison,,"field, dragon",ekans-attack-1,Arid,,,,Any,Any,,,natural,0.27,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
23,Ekans Snake_Pattern=Speed,poison,,"field, dragon",ekans-speed-1,Arid,,,,Any,Any,,,natural,0.27,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
23,Ekans Snake_Pattern=Elusive,poison,,"field, dragon",ekans-elusive-1,Arid,,,,Any,Any,,,natural,0.27,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
23,Ekans Snake_Pattern=Sound,poison,,"field, dragon",ekans-sound-1,Arid,,,,Any,Any,,,natural,0.27,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
23,Ekans Snake_Pattern=Dark,poison,,"field, dragon",ekans-dark-2,Nether/ Desert,,,,Any,Any,,,natural,5.4,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
171,Lanturn,water,electric,water_2,lanturn-1,Deep Ocean,,,,Any,Any,,,underwater,0.6,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
993,Iron Jugulis,dark,flying,undiscovered,Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
948,Toedscool,ground,grass,grass,toedscool-1,Swamp,,,,Any,Any,,,natural,5.0,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
345,Lileep,rock,grass,water_3,lileep-1,Lush,,,,Any,Any,,,underwater,9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
540,Sewaddle,bug,grass,bug,sewaddle-1,Forest,Spooky,,,Any,Any,,,natural,9.0,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
498,Tepig,fire,,field,tepig-1,Plains,,,,Any,Any,,,natural,9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
498,Tepig,fire,,field,tepig-2,"Nether/ Crimson, Nether/ Overgrowth",,,,Any,Any,,,natural,9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
165,Ledyba,bug,flying,bug,ledyba-1,Floral,,,,Any,Any,,,,7.2,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
241,Miltank,normal,,field,miltank-1,Grassland,,,,Any,Any,,,natural,6.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
241,Miltank Mooshtank=Red,normal,,field,miltank-red-2,Mushroom Fields,,,,Any,Any,,,natural,9.9,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
241,Miltank Mooshtank=Brown,normal,,field,miltank-brown-3,Mushroom Fields,,,,Any,Any,,,natural,0.1,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
333,Swablu,normal,flying,"flying, dragon",swablu-1,Mountain,,,,Any,Any,,,natural,20.0,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
789,Cosmog,psychic,,undiscovered,cosmog-1,Floral,,,,Any,Any,,,,1,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
889,Zamazenta,fighting,,undiscovered,Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
372,Shelgon,dragon,,dragon,Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
534,Conkeldurr,fighting,,human_like,conkeldurr-1,Overworld,"Sandy, Tundra",,,Any,Any,,,"natural, urban",0.02,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
534,Conkeldurr,fighting,,human_like,conkeldurr-2,Overworld,"Sandy, Tundra",,,Any,Any,,,"natural, village",0.02,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
901,Ursaluna,ground,normal,field,ursaluna-1,"Forest, Mountain, Taiga",,,,Any,Any,,,"natural, wild",0.02,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
901,Ursaluna,ground,normal,field,ursaluna-2,"Crystal Canyon, Floral Meadow",,,Sempiternal Sanctums,Any,Any,,,,0.02,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
203,Girafarig,normal,psychic,field,Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
416,Vespiquen,bug,flying,bug,vespiquen-1,Temperate,"Freezing, Spooky",,,Any,Clear,,,natural,0.1,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
416,Vespiquen,bug,flying,bug,vespiquen-2,The Bumblezone,,,Sempiternal Sanctums,Any,Any,,,,1.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
775,Komala,normal,,field,komala-1,Savanna,,,,Any,Any,,,"natural, foliage, treetop, wild",6.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
701,Hawlucha,fighting,flying,"flying, human_like",hawlucha-1,Mountain,,,,Any,Any,,,natural,5.0,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
970,Glimmora,rock,poison,mineral,glimmora-1,Overworld,,,,Any,Any,,,"natural, gemstones",1.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
970,Glimmora,rock,poison,mineral,glimmora-2,Nether/ Quartz,,,,Any,Any,,,,0.2,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
